Source,Target,Weight
ASV_154668,ASV_195213,-0.861688337
ASV_114788,ASV_195213,-0.827589781
ASV_112967,ASV_195213,-0.888095699
ASV_143551,ASV_195007,-0.988804227
ASV_251811,ASV_194843,-0.874758751
ASV_244883,ASV_194190,-0.830781799
ASV_143551,ASV_194190,-0.899051
ASV_39728,ASV_193165,-0.951089241
ASV_227839,ASV_193165,-0.637874859
ASV_203094,ASV_193165,-0.754784137
ASV_17484,ASV_193165,-0.8831445
ASV_163361,ASV_193165,-0.914380423
ASV_154668,ASV_193165,-0.952746781
ASV_11103,ASV_193165,-0.0005091
ASV_177177,ASV_193135,-0.906098843
ASV_37829,ASV_192979,-0.9016105
ASV_26825,ASV_192395,-0.869917031
ASV_237653,ASV_192395,-0.8339874
ASV_57659,ASV_19185,-0.856669417
ASV_205669,ASV_19185,-0.512396765
ASV_13965,ASV_19185,-0.912081017
ASV_114704,ASV_19185,-0.875580595
ASV_48335,ASV_191077,-0.977568426
ASV_172455,ASV_190929,-0.752999334
ASV_120833,ASV_19047,-0.937675266
ASV_48123,ASV_190052,-0.427894484
ASV_36702,ASV_190052,-0.185333084
ASV_94109,ASV_189759,-0.700937141
ASV_74982,ASV_189759,-0.811078063
ASV_165092,ASV_189426,-0.770665379
ASV_157804,ASV_189426,-0.882143993
ASV_148210,ASV_189426,-0.930441855
ASV_127946,ASV_188379,-0.8801325
ASV_80942,ASV_187942,-0.931483472
ASV_193135,ASV_187942,-0.926161027
ASV_93649,ASV_187785,-0.96897011
ASV_89507,ASV_187785,-0.682208955
ASV_66374,ASV_187785,-0.530873356
ASV_54817,ASV_187785,-0.664251612
ASV_241078,ASV_187785,-0.943580437
ASV_221714,ASV_187785,-0.55817896
ASV_143843,ASV_187785,-0.151956289
ASV_138823,ASV_187785,-0.984844833
ASV_1305,ASV_187785,-0.958776098
ASV_109497,ASV_187785,-0.854959972
ASV_64213,ASV_187700,-0.922881735
ASV_54496,ASV_187457,-0.936322982
ASV_34645,ASV_187457,-0.696302542
ASV_72610,ASV_187146,-0.570042039
ASV_238401,ASV_187146,-0.978893531
ASV_203424,ASV_186889,-0.838996183
ASV_8399,ASV_186019,-0.971490618
ASV_73188,ASV_186019,-0.874848
ASV_174732,ASV_186019,-0.9571585
ASV_82134,ASV_185379,-0.890902785
ASV_144503,ASV_185379,-0.554739246
ASV_161138,ASV_185170,-0.902402
ASV_237653,ASV_185153,-0.798203458
ASV_16470,ASV_185153,-0.653520022
ASV_150109,ASV_185153,-0.70477624
ASV_123691,ASV_184605,-0.914348282
