,RM1,RM2,RM3,RM4,RM5,RM6,RM7
ASV_93109,0.000573559,0.000127458,0.000637288,0.000541695,0.000764745,0.000764745,0.00050983
ASV_119411,0.000318644,0.001465762,0.000254915,0.000637288,0.000573559,0.000414237,0.000159322
ASV_186275,0.000605423,0.000669152,0.000955932,0.000828474,0.000764745,0.000382373,0.000573559
ASV_79623,0.000223051,0,0.000573559,0.000541695,0.000414237,0.000987796,0.000446101
ASV_74428,0.000701016,0,0.000924067,0,0.000924067,0,0.000573559
ASV_23169,0.000605423,0,0,0.001625084,0.000828474,0,0
ASV_166203,0.000955932,0.00050983,0.000669152,0.000828474,0.000223051,0.000701016,0
ASV_128841,0.000477966,0.000446101,0.000701016,0.000669152,0.000573559,0.000892203,0.000573559
ASV_16056,0,0,0.000254915,0.000446101,0.000286779,0,0
ASV_197959,0,0.000446101,0.00181627,0.000159322,0,0,0
ASV_193135,0.000541695,0.000605423,0.000446101,0.000573559,0.000350508,0.000286779,0.000541695
ASV_26664,0.000637288,0.000924067,0.000254915,0.001051525,0.000828474,0.000605423,0.000764745
ASV_52455,0.000637288,0.000541695,0.000446101,0.000254915,0.000414237,0.000764745,0.000477966
ASV_17589,0,0.001370169,0.000414237,0.000764745,0.000350508,0.000477966,0.001242711
ASV_79628,0.000701016,0.001083389,0.000828474,0.000924067,0.000477966,0.000446101,0.000541695
ASV_121822,0.000573559,0.001178982,0.000477966,0.000764745,0.000637288,0.000541695,0.000605423
ASV_99978,0.000573559,0.000191186,0.000828474,0.000605423,0.00079661,0.000828474,0
ASV_94109,0.000477966,0.000477966,0.00050983,0,0.00079661,0.000541695,0.000955932
ASV_115805,0.00101966,0,0.000605423,0,0.001210847,0.000318644,0
ASV_234779,0.00152949,0,0,0.000350508,0,0,0
ASV_54044,0.000669152,0.000223051,0.000414237,0.000541695,0.000860338,0.000828474,0.000701016
ASV_53475,0.000414237,0.000732881,0.000191186,0.000637288,0.000732881,0.000446101,0.000764745
ASV_138823,0.000541695,0,0.000669152,0.000286779,0.000637288,0.000732881,0.000573559
ASV_201126,0.000254915,0.000318644,0.000446101,0.000637288,0.000318644,0.000477966,0.000286779
ASV_162851,0.000414237,0.002899659,0.000669152,0,0,0.000701016,0
ASV_176787,0.000860338,0,0,0.000350508,0.000828474,0.001147118,0.000987796
ASV_204455,0.00101966,0,0,0.000987796,0.001147118,0,0
ASV_50189,0.000350508,0.000191186,0.000414237,0.000286779,0.000318644,0.000286779,0.000127458
ASV_124455,0.000318644,0,0.00079661,0.000732881,0.000764745,0.00050983,0.000732881
ASV_17484,0.000605423,0.001147118,0.000477966,0.000860338,0.000350508,0.000860338,0.000286779
ASV_33616,0.000573559,0.000605423,0.000701016,0.000159322,0.000286779,0,0.000477966
ASV_173481,0.000573559,0.000955932,0.000573559,0.000414237,0.001115253,0.000286779,0.000573559
ASV_164792,0.000637288,0,0,0.000382373,0,0.000605423,0.000573559
ASV_142924,0,0.001210847,0.000541695,0.00079661,0.000254915,0.000318644,0.000254915
ASV_68214,0,0,0.000605423,0,0,0,0
ASV_73820,0.000382373,0.000286779,0.000573559,9.56E-05,0.000382373,0.000350508,0.000350508
ASV_252279,0.000828474,0.000382373,0.000701016,0.000223051,0,0.000477966,0.000446101
